v1001,копируй,copy,text,print,draw,paint,xerox,,как в русском,КОПИруй,,
v1002,блокируй,block,fix,blocked,punish,lock,unlock,,как в русском,БЛОКируй,,
v1004,контролируй,control,counter,controller,controlled,contact,count,,как в русском,КОНТРОЛируй,,
v1005,шокируй,shock,surprise,kill,murder,chase,shocking,,как в русском,ШОКируй,,
v1006,игнорируй,ignore,lie,stop,ignoration,pass,pool,,как в русском,ИГНОРируй,,
v1007,дискуссируй,discuss,communicate,discussion,conversation,discount,chat,,как в русском,ДИСКУССируй,,
v1008,тренируй,train,exam,trained,exercising,training,example,,как в русском,ТРЕНируй,,
v1009,сфокусируй,focus,focal,fox,focused,local,focusing,,как в русском,сФОКУСируй,,
v1010,гарантируй,guarantee,offer,suggest,guard,consume,agree,,как в русском,ГАРАНТИруй,,
v1011,бери интервью (у),interview,take,give,send,have,copy,,как в русском,бери ИНТЕРВЬЮ,,
v1012,рекомендуй,recommend,suggest,advise,offer,recommendation,command,,как в русском,РЕКОМЕНДуй,,
v1013,демонстрируй,demonstrate,watch,show,see,look,demonstration,,как в русском,ДЕМОНСТРИруй,,
v1014,концентрируй,concentrate,cancel,constant,concentration,persistent,focused,,как в русском,КОНЦЕНТРИруй,,
v1015,трансформируй,transform,transfer,change,transformation,inform,transact,,как в русском,ТРАНСФОРМируй,,
v1016,дисциплинируй,discipline,schedule,descendant,behave,distance,disciplined,,как в русском,ДИСЦИПЛИНируй,,
v1017,доминируй (над),dominate,dominion,domestic,domination,rule,manipulate,,как в русском,ДОМИНИруй,,
v1018,манипулируй,manipulate,manipulated,controlling,monopoly,menu,manipulation,,как в русском,МАНИПУЛИруй,,
v1019,компенсируй,compensate,competent,competetive,compensation,compare,compact,,как в русском,КОМПЕНСИруй,,
v1020,консультируй,consult,consider,assist,advance,consulting,consume,,как в русском,КОНСУЛЬТируй,,
v1021,атакуй,attack,defend,fight,kill,die,ruin,,как в русском,АТАКуй,,
v1022,арестуй,arrest,cuffs,criminal,kill,stop,order,,как в русском,АРЕСТуй,,
v1023,прогугли,google,progoogle,ungoogle,gogle,goggles,giggles,,как в русском,проГУГЛи,,
v1024,критикуй,criticize,argue,critical,argument,criticism,bet,,как в русском,КРИТИкуй,,
v1025,преврати в руины,ruin,distract,build,devastation,hush,murder,,как в русском,преврати в РУИНы,,
v1026,ассистируй,assist,ash,helper,assistant,nurse,tool,,как в русском,АССИСТируй,,
v1027,рискни,risk,take,risky,peak,rice,rise,,как в русском,РИСКни,,
v1028,изолируй,isolate,isolating,violating,isolationing,violate,isolated,,как в русском,ИЗОЛИруй,,
v1029,эвакуируй,evacuate,violate,evolute,evacuated,threaten,evacuation,,как в русском,ЭВАКУИруй,,
v1030,мотивируй,motivate,upside,hate,reach,motivation,rich,,как в русском,МОТИВИруй,,
v1033,помоги,help,assistant,ambulance,helper,assistance,tool,v1033,кому помогает?,ПОМОГАЕТ ХаЛаПеньо,,
v1034,поблагодари,thank,well,think,apologize,welcome,great,v1034,"""благодарю тебя"" на каждом пакете..","""БЛАГОДАРЮ тебя"" на каждом пакете - ""THANK you""",,
v1035,верь,believe,trash,forget,beaf,forgive,respect,v1035,кому верит?,ВЕРИТ БИЛАЙну,,
v1036,скучаю (по),miss,hug,kiss,kill,love,sad,v1036,мистер скучает по своей...,мистер СКУЧАЕТ по своей MISS,,
