1,1,дисциплинируй студентов,discipline students,"v1016,n1406.0"
2,1,доминировать,to dominate,"x01v1017,v1017"
3,1,критикуй,criticize,v1024
4,1,зелёная дверь,green door,"a1005,n1044"
5,1,не сыр,not cheese,"l202,n1248"
6,1,не сливочное масло,not butter,"l202,n1249"
7,1,нет брокколи,no broccoli,"l201,n1140"
8,1,нет помидоров,no tomatos,"l201,n1141.0"
9,1,не благодарный,not thankful,"l202,a1129"
10,1,удивляющий результат,surprising result,"a1130,n1341"
11,1,красивый концепт,beautiful concept,"a1131,n1321"
12,1,уставшие люди,tired people,"a1132,n1202"
13,1,бесплатный кофе,free coffee,"a1046,n1245"
14,1,сказать,to say,"x01v1139,v1139"
15,1,приходить,to come,"x01v1140,v1140"
16,1,Разговаривай по-китайски,Speak Chinese,"v1141,a1152"
17,1,"Я думаю, нам нужна практика",I think we need practice,"l101,v1142,l105,v1158,n1237"
18,1,"Улыбнись, друг!","Smile, friend!","v1153,n1110"
19,1,сладкие яблоки,sweet apples,"a1023,n1142.0"
20,1,холодный напиток,cold drink,"a1015,n1143"
21,1,четыре торта,four cakes,"a1165,n1144.0"
22,1,красная черешня,red cherry,"a1024,n1145"
23,1,нет адреса,no address,"l201,n1146"
24,1,местное время,local time,"a1134,n1198"
25,1,не удивлен,not surprised,"l202,a1135"
26,1,закрытая группа,closed group,"a1136,n1028"
27,1,сломай это,break it,"v1116,l108"
28,1,переводить (ин.язык),to translate,"x01v1060,v1060"
29,1,Прыгай сейчас!,Jump now!,"v1144,o1002"
30,1,"Поплачь, малыш","cry, baby","v1145,n1121"
31,1,Иногда они путешествуют,Sometimes they travel,"o1006,l106,v1146"
32,1,Верь мне!,Believe me!,"v1035,l1101"
33,1,быть богатым,to be rich,"x01v1157,v1157,a1008"
34,1,большой круг,big circle,"a1020,n1048"
35,1,белые облака,white clouds,"a1027,n1049.0"
36,1,Позвони мне завтра,Call me tomorrow,"v1049,l1101,o1004"
37,1,красные цветы,red flowers,"a1024,n1051.0"
38,1,нет офиса,no office,"l201,n1147"
39,1,Двигайся сейчас!,Move now!,"v1054,o1002"
40,1,"Иди, иди!","Go, go!","v1151,v1151"
41,1,помни меня,remember me,"v1058,l1101"
42,1,поверни направо,turn right,"v1154,a1273"
43,1,удивлять,to surprise,"x01v1056,v1056"
44,1,не естественно,not natural,"l202,a1139"
45,1,хорошие дети,good children,"a1012,n1116"
46,1,женатый мужчина,married man,"a1141,n1120"
47,1,не лучший,not the best,"l202,a1142"
48,1,следующий,next,a1143
49,1,новая организация,new organization,"a1029,n1148"
50,1,интересный рассказ,interesting story,"a1057,n1396"
51,1,большой размер,big size,"a1020,n1397"
52,1,Я люблю вечеринки,I love parties,"l101,v1031,n1398.0"
53,1,нет экспериментов,no experiments,"l201,n1264.0"
54,1,"расскажи мне, сестра","tell me, sister","v1069,l1101,n1096"
55,1,отправь это сейчас,send it now,"v1062,l108,o1002"
56,1,они продают машины,they sell cars,"l106,v1066,n1057.0"
57,1,понимать,to understand,"x01v1078,v1078"
58,1,контролируй,control,v1004
59,1,не первый,not first,"l202,a1144"
60,1,живая музыка,live music,"a1145,n1247"
61,1,будущие планы,future plans,"a1146,n1287.0"
62,1,любимая книга,favourite book,"a1147,n1045"
63,1,Рад видеть вас!,Glad to see you!,"a1148,x01v1070,v1070,l107"
64,1,плохое кафе,bad cafe,"a1017,n1150"
65,1,местный банк,local bank,"a1134,n1151"
66,1,нет квартиры,no apartment,"l201,n1149"
67,1,старая фирма,old firm,"a1014,n1152"
68,1,секретная база,secret base,"n1294,n1153"
69,1,Ты шокируешь пассажиров!,You shock passengers!,"l102,v1005,n1085.0"
70,1,игнорировать инструкции,to ignore instructions,"x01v1006,v1006,n1281.0"
71,1,Мы всегда обсуждаем идеи,We always discuss ideas,"l105,o1001,v2044,n1269.0"
72,1,тренировать людей,to train people,"x01v1008,v1008,n1202"
73,1,фокусироваться,to focus,"x01v1009,v1009"
74,1,школьная лаборатория,school lab,"n1193,n1154"
75,1,нет льда,no ice,"l201,n1250"
76,1,частный гараж,private garage,"a1138,n1157"
77,1,большой зоопарк,big zoo,"a1020,n1155"
78,1,городской стадион,city stadium,"n1181,n1156"
79,1,я гарантирую вам,I guarantee you,"l101,v1010,l107"
80,1,Я беру интервью у политиков,I interview politicians,"l101,v1011,n1099.0"
81,1,Можешь ли ты порекомендовать?,Can you recommend?,"v1163,l102,v1012"
82,1,демонстрировать,to demonstrate,"x01v1013,v1013"
83,1,Мне нужно сконцентрироваться сейчас,I need to concentrate now,"l101,v1158,x01v1014,v1014,o1002"
84,1,не замужняя,not married,"l202,a1149"
85,1,фантастическое место,fantastic place,"a1066,n2147"
86,1,злое лицо,angry face,"a1001,n1069"
87,1,сумасшедшая женщина,crazy woman,"a1002,n1111"
88,1,не очень короткое,not very short,"l202,l401,a1003"
89,1,потряси это,shake it,"v1072,l108"
90,1,полировать столы,to polish tables,"x01v1089,v1089,n1059.0"
91,1,доминировать,to dominate,"x01v1017,v1017"
92,1,манипулируй людьми,manipulate people,"v1018,n1202"
93,1,компенсировать,to compensate,"x01v1019,v1019"
94,1,не всегда,not always,"l202,o1001"
95,1,не сейчас,not now,"l202,o1002"
96,1,извините меня,excuse me,"v1055,l1101"
97,1,мы атакуем завтра,we attack tomorrow,"l105,v1021,o1004"
98,1,мы арестовываем преступники,we arrest criminals,"l105,v1022,n1114.0"
99,1,мы нужно прогуглить это,I need to google it,"l101,v1158,x01v1023,v1023,l108"
100,1,легко критиковать,easy to criticize,"a1043,x01v1024,v1024"
201,2,сломанный стул,broken chair,"a2072,n1055"
202,2,известное место,famous place,"a2073,n2147"
203,2,не застрявший,not stuck,"l202,a2075"
204,2,мазать,to spread,"x01v2161,v2161"
205,2,сдавливать фрукты,to press fruits,"x01v2162,v2162,n1427.0"
206,2,пожарь яйца,fry eggs,"v2120,n2120.0"
207,2,Мне нужно зарабатывать деньги,I need to earn money,"l101,v1158,x01v2121,v2121,n1254"
208,2,мы печём торты,we bake cakes,"l105,v2122,n1144.0"
209,2,у них есть пончики,they have donuts,"l106,v1064,n2135.0"
210,2,новая микроволновка,new microwave,"a1029,n2136"
211,2,интересный чайник (заварочный),interesting teapot,"a1057,n2137"
212,2,шоколадная печенька,chocolate cookie,"n1430,n2138"
213,2,нет чувств,no feelings,"l201,n2286.0"
214,2,не похожий,not similar,"l202,a2093"
215,2,не сложно ответить,not difficult to answer,"l202,a2079,x01v2042,v2042"
216,2,потерянное время,lost time,"a2076,n1198"
217,2,голое тело,naked body,"a2077,n1070"
218,2,не ревнивый,not jealous,"l202,a2080"
219,2,обменяй деньги завтра,exchange money tomorrow,"v2123,n1254,o1004"
220,2,наслаждайся жизнью,enjoy life,"v2124,n1197"
221,2,они всегда сравнивают,they always compare,"l106,o1001,v2055"
222,2,я ненавижу овощи,I hate vegetables,"l101,v2073,n2122.0"
223,2,подготовить документы,to prepare documents,"x01v2079,v2079,n1455.0"
224,2,маленький холодильник,small fridge,"a2002,n2139"
225,2,уличный базар,street market,"n1177,n2140"
226,2,цветочный сад,flower garden,"n1051,n2141"
227,2,вечернее платье,evening dress,"n2282,n1046"
228,2,нет страны,no country,"l201,n2143"
229,2,сломай все двери,break all doors,"v1116,l508,n1044.0"
230,2,я клянусь,I swear,"l101,v2142"
231,2,нам нужно зарядить батарейки,we need to charge batteries,"l105,v1158,x01v2129,v2129,n1026.0"
232,2,подпиши документы,sign documents,"v2130,n1455.0"
233,2,держаться за руки,to hold hands,"x01v2002,v2002,n1066.0"
