,,,,
1,1,расскажи это сейчас,tell it now,"v1069,l108,o1002"
2,1,мы стоим,we stand,"l105,v1133"
3,1,убей меня,kill me,"v1038,l1101"
4,1,потряси это,shake it,"v1072,l108"
5,1,большой прогресс,big progress,"a1020,n1211"
6,1,фантастическая идея!,fantastic idea!,"a1066,n1269"
7,1,профессиональная работа,professional work,"a1067,n1261"
8,1,физический контакт,physical contact,"a1068,n1349"
9,1,вы показываете это,you show it,"l107,v1042,l108"
10,1,личная информация,personal information,"a1137,n1240"
11,1,пассажиры,passengers,n1085.0
12,1,типичные пациенты,typical patients,"a1085,n1086.0"
13,1,молодая модель,young model,"a1007,n1087"
14,1,три стакана,three glasses,"a1164,n1400.0"
15,1,романтическая сцена,romantic scene,"a1114,n1089"
16,1,работай,work,v1109
17,1,я преподаю вам,I teach you,"l101,v1075,l107"
18,1,возьми это,take it,"v1076,l108"
19,1,води (авто),drive,v1077
20,1,пять карточек,five cards,"a1166,n1005.0"
21,1,онлайн встреча,online meeting,"a1071,n1393"
22,1,ординарный день,ordinary day,"a1072,n1379"
23,1,центральный парк,central park,"a1073,n1454"
24,1,оригинальный рассказ,original story,"a1074,n1396"
25,1,популярная песня,popular song,"a1075,n2227"
26,1,рискованный блеф,risky bluff,"a1271,n1312"
27,1,красивая муза,beautiful muse,"a1131,n1091"
28,1,монстры!,monsters!,n1092.0
29,1,хороший дантист,good dentist,"a1012,n1093"
30,1,новый танец,new dance,"a1029,n1293"
31,1,Большая проблема!,Big problem!,"a1020,n1290"
32,1,скучаю по тебе,miss you,"v1036,l102"
33,1,"Привет, брат!","Hi, brother!","o1014,n1095"
34,1,ты закрываешь,you close,"l102,v1102"
35,1,вы закрываете,you close,"l107,v1102"
36,1,коллекционируй фотографии,collect photos,"v1079,n1015.0"
37,1,голодные студенты,hungry students,"a1040,n1406.0"
38,1,сформируй группы,form groups,"v1081,n1028.0"
39,1,протестуйте сегодня,protest today,"v1082,o1003"
40,1,Практикуй английский,Practice English,"v1083,a1173"
41,1,практические эксперименты,practical experiments,"a1076,n1264.0"
42,1,специальный момент,special moment,"a1077,n1350"
43,1,национальный парк,national park,"a1091,n1454"
44,1,публичный транспорт,public transport,"a1079,n1215"
45,1,официальные документы,official documents,"a1080,n1455.0"
46,1,"спроси меня, брат","ask me, brother","v1040,l1101,n1095"
47,1,"открой это, сестра","open it, sister","v1101,l108,n1096"
48,1,доктора паникуют,doctors panic,"n1097.0,v1127"
49,1,медленный гигант,slow giant,"a1009,n1098"
50,1,молодой политик,young politician,"a1007,n1099"
51,1,танцуй!,dance!,v1084
52,1,планируй,plan,v1085
53,1,продолжай,continue,v1100
54,1,оптимизируй это,optimize it,"v1087,l108"
55,1,реализуй это,realize it,"v1088,l108"
56,1,позитивная энергия,positive energy,"a1081,n1235"
57,1,корректное время,correct time,"a1082,n1198"
58,1,нормальная жизнь,normal life,"a1083,n1197"
59,1,негативная информация,negative information,"a1084,n1240"
60,1,типичная реакция,typical reaction,"a1085,n1289"
61,1,чемпион,champion,n1100
62,1,молодые гении,young geniuses,"a1007,n1101.0"
63,1,"помоги мне, партнер","help me, partner","v1033,l1101,n1102"
64,1,хороший тренер,good trainer,"a1012,n1103"
65,1,медленные кассиры,slow cashiers,"a1009,n1104.0"
66,1,полируй это,polish it,"v1089,l108"
67,1,поверни это,turn it,"v1154,l108"
68,1,диктуй инструкции,dictate instructions,"v1091,n1281.0"
69,1,припаркуйте автобусы,park buses,"v1092,n1010.0"
70,1,комбинируй ингредиенты,combine ingredients,"v1093,n1282.0"
71,1,национальный флаг,national flag,"a1091,n1456"
72,1,экстраординарный талант,extraordinary talent,"a1092,n1458"
73,1,формальная процедура,formal procedure,"a1093,n1457"
74,1,секретная база,secret base,"a1094,n1153"
75,1,актуальная проблема,actual problem,"a1095,n1290"
76,1,быстрые курьеры,fast couriers,"a1021,n1105.0"
77,1,заинтересованная публика,interested public,"a1058,n1106"
78,1,черный юмор,black humor,"a1030,n1107"
79,1,эмоциональная гармония,emotional harmony,"a1108,n1108"
80,1,Плохие отцы!,Bad fathers!,"a1017,n1109.0"
81,1,прокомментируй сейчас,comment now,"v1094,o1002"
82,1,сортируй книги,sort books,"v1095,n1045.0"
83,1,организуй,organize,v1096
84,1,резервируй,reserve,v1097
85,1,я могу приготовить,I can cook,"l101,v1163,v1112"
86,1,финальный экзамен,final exam,"a1096,n1274"
87,1,активные студенты,active students,"a1097,n1406.0"
88,1,пунктуальные студенты,punctual students,"a1098,n1406.0"
89,1,капризные дети,capricious children,"a1099,n1116"
90,1,оптимистичные люди,optimistic people,"a1100,n1202"
91,1,старые друзья,old friends,"a1014,n1110.0"
92,1,сумасшедшие женщины,crazy women,"a1002,n1111.0"
93,1,голодный муж,hungry husband,"a1040,n1112"
94,1,дедушка,grandfather,n1113
95,1,профессиональные преступники,professional criminals,"a1067,n1114.0"
96,1,новые друзья,new friends,"a1029,n1110.0"
97,1,я дерусь,I fight,"l101,v1061"
98,1,они дерутся,they fight,"l106,v1061"
99,1,ты дерешься,you fight,"l102,v1061"
100,1,мы деремся,we fight,"l105,v1061"
201,2,мокрое полотенце,wet towel,"a2016,n2045"
202,2,сломанная кость,broken bone,"a2072,n2079"
